acc_pitch,acc_roll,acc_yaw,gyro_pitch,gyro_roll,gyro_yaw,magno_pitch,magno_roll,magno_yaw,y
9.48,-29.88,-44.47,45.51,10.27,34.56,11.76,7.36,-44.38,2
-3.32,-11.03,-44.95,-44.66,-6.21,35.26,15.36,19.95,-43.82,1
15.7,-27.22,-43.61,-14.81,9.36,44.0,11.41,6.1,-44.42,1
-1.66,-37.61,-44.98,20.41,-27.71,-42.59,15.87,4.28,-43.88,1
10.59,-11.5,-44.49,43.84,-27.5,-31.99,13.21,8.26,-44.22,1
9.25,-0.95,-44.62,-2.48,-84.45,-41.81,13.19,5.09,-44.23,1
5.61,-28.59,-44.82,-4.26,-26.49,-44.9,12.34,3.39,-44.33,1
8.69,-21.68,-44.62,14.36,-48.09,-42.88,14.6,3.75,-44.06,1
1.81,-24.46,-44.98,31.81,57.49,11.1,12.59,3.52,-44.3,1
-0.3,-22.9,-45.0,-41.52,13.7,36.17,11.36,3.98,-44.43,1
-11.49,-9.05,-44.4,-62.06,-19.35,-19.35,9.89,4.96,-44.57,1
2.04,-25.08,-44.98,21.08,9.2,-42.96,11.85,3.74,-44.38,1
9.83,-39.79,-44.28,-29.89,-14.43,-40.61,13.89,2.69,-44.15,1
21.97,-55.28,-37.02,49.49,-37.46,-16.03,15.46,3.1,-43.94,1
4.66,-36.31,-44.85,64.76,17.55,-17.55,12.36,2.88,-44.33,1
2.2,-11.21,-44.98,26.56,-45.69,-37.53,14.67,4.76,-44.04,1
4.33,-22.48,-44.9,-18.43,0.0,43.49,13.81,7.41,-44.14,1
-0.0,-26.1,-45.0,0.0,63.43,45.0,12.96,7.4,-44.25,1
-56.1,-6.67,28.78,19.76,26.79,-42.79,8.9,7.12,-44.65,1
-64.52,-1.17,23.25,-0.0,0.0,-45.0,8.46,7.55,-44.68,1
3.45,-34.04,-44.92,17.55,64.76,-35.26,14.29,6.37,-44.09,1
4.06,-32.35,-44.9,0.0,56.31,-45.0,14.18,6.55,-44.1,1
1.05,-26.69,-44.99,-8.88,-38.11,-44.44,13.59,7.17,-44.17,1
